image_path,label
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_0.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_1.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_10.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_11.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_12.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_13.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_14.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_15.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_16.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_17.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_18.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_19.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_2.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_20.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_21.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_22.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_23.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_24.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_25.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_26.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_27.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_28.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_29.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_3.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_30.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_31.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_32.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_33.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_34.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_35.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_36.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_37.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_38.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_39.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_4.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_40.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_41.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_42.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_43.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_44.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_45.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_46.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_47.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_48.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_49.jpg,augmented_SuyogKadariya
augmented_photos\augmented_SuyogKadariya\augmented_SuyogKadariya_5.jpg,augmented_SuyogKadariya
